Zeitstempel,Today_kWh,Tomorrow_kWh,Sunrise_Today,Sunset_Today,Sunrise_Tomorrow,Sunset_Tomorrow
2026-01-20 13:21:39,1.86,1.78,07:42,16:50,07:41,16:52
2026-03-13 22:27:50,3.60,2.71,n/a,n/a,06:22,18:07,06:20,18:09
