ts;code;level;detail
2026-09-10 00:20:22;FORECAST;2026-09-10;0.59/0.66
2026-09-10 03:12:23;ERR_TELEGRAM_UPDATES;ERROR;"Fehler beim Abrufen von Telegram-Updates: Status 502, Details: {""ok"":false,""error_code"":502,""description"":""Bad Gateway""}"
2026-09-10 03:12:28;ERR_TELEGRAM_UPDATES;ERROR;"Fehler beim Abrufen von Telegram-Updates: Status 502, Details: {""ok"":false,""error_code"":502,""description"":""Bad Gateway""}"
2026-09-10 03:12:33;ERR_TELEGRAM_UPDATES;ERROR;"Fehler beim Abrufen von Telegram-Updates: Status 502, Details: {""ok"":false,""error_code"":502,""description"":""Bad Gateway""}"
2026-09-10 06:20:32;FORECAST;2026-09-10;0.61/1.72
2026-09-10 08:00:20;CYCLE_START_WE;Abweichung;
2026-09-10 08:34:31;CYCLE_END_WE;Keine Regel aktiv;
2026-09-10 08:48:45;CYCLE_START_WE;Abweichung;
2026-09-10 08:50:07;CYCLE_END_WE;Keine Regel aktiv;
2026-09-10 09:02:38;CYCLE_END_WE;Komfort;
2026-09-10 09:20:03;CYCLE_END_WE;Keine Regel aktiv;
2026-09-10 10:50:53;CYCLE_START_WE;Abweichung;
2026-09-10 10:51:57;CYCLE_END_WE;Keine Regel aktiv;
2026-09-10 10:58:53;CYCLE_END_WE;Komfort;
2026-09-10 12:05:30;CYCLE_END_WE;Keine Regel aktiv;
2026-09-10 12:05:57;CYCLE_END_WE;Komfort;
2026-09-10 12:06:10;CYCLE_END_WE;Keine Regel aktiv;
2026-09-10 12:20:39;FORECAST;2026-09-10;0.72/2.27
2026-09-10 15:22:16;CYCLE_START_WE;AdaptivePV;
2026-09-10 15:37:35;CYCLE_START_WE;Batterie;
2026-09-10 16:21:48;CYCLE_END_WE;Komfort;
2026-09-10 18:20:50;FORECAST;2026-09-10;1.17/1.94
2026-09-10 19:00:14;CYCLE_END_WE;Abweichung;
2026-09-10 19:20:40;CYCLE_END_WE;Keine Regel aktiv;
2026-09-10 19:21:07;CYCLE_END_WE;Abweichung;
2026-09-10 19:21:48;CYCLE_END_WE;Keine Regel aktiv;
2026-09-10 19:23:09;CYCLE_END_WE;Abweichung;
2026-09-10 19:23:23;CYCLE_END_WE;Keine Regel aktiv;
2026-09-11 00:21:01;FORECAST;2026-09-11;2.15/5.09
2026-09-11 03:12:36;ERR_TELEGRAM_UPDATES;ERROR;"Fehler beim Abrufen von Telegram-Updates: Status 502, Details: {""ok"":false,""error_code"":502,""description"":""Bad Gateway""}"
2026-09-11 03:12:41;ERR_TELEGRAM_UPDATES;ERROR;"Fehler beim Abrufen von Telegram-Updates: Status 502, Details: {""ok"":false,""error_code"":502,""description"":""Bad Gateway""}"
2026-09-11 03:12:46;ERR_TELEGRAM_UPDATES;ERROR;"Fehler beim Abrufen von Telegram-Updates: Status 502, Details: {""ok"":false,""error_code"":502,""description"":""Bad Gateway""}"
2026-09-11 03:12:51;ERR_TELEGRAM_UPDATES;ERROR;"Fehler beim Abrufen von Telegram-Updates: Status 502, Details: {""ok"":false,""error_code"":502,""description"":""Bad Gateway""}"
2026-09-11 06:21:05;FORECAST;2026-09-11;2.33/5.13
2026-09-11 08:00:23;CYCLE_START_WE;Legionellen;
2026-09-11 09:08:03;SONSTIGES;ERROR;Kompressor-Verifizierung fehlgeschlagen (2x): ⚠️ Wärmepumpe läuft möglicherweise NICHT:
